POR_CP,DISTANCIA,RITMO,FREC_CARDIACA,CADENCIA,TSC,FP,LSS,OSC_VERTICAL,L_ZANCADA,RFP,RLSS,ROV,RE,AIRE,PENDIENTE,ALTITUD,DESNIVEL,RSS,DURACION
85.863,500,519,154,166,340,64,12,5.06,0.697,39.024,146.341,7.228,0.965,1,-0.5,19,2,5,259
84.816,1000,547,130,159,343,66,11.8,5480,0.689,40.74,143.902,8.058,0.925,0,0.4,16,7,10,547
84.293,1000,537,137,161,346,66,12.1,5470,0.693,40.993,147.56,7.927,0.948,0,0,18,4,9,537
84.816,1000,540,142,162,347,66,12.2,5420,0.685,40.74,148.78,7.97,0.937,0,0.2,18,6,9,540
84.816,1000,539,146,163,345,65,12.1,5290,0.682,40.123,147.56,7.779,0.939,0,0,19,5,9,539
84.816,1000,542,150,163,346,65,12.3,5230,0.679,40.123,150,7.691,0.933,0,0.3,18,7,9,542
84.816,1000,537,152,165,339,65,12.4,5180,0.677,40.123,151.219,7.617,0.942,1,-0.2,18,2,9,537
85.863,600,524,155,165,341,64,12.1,5070,0.688,39.024,147.56,7.347,0.946,1,-0.2,19,3,6,317
85.34,530,561,128,158,340,65,11.7,5410,0.67,39.877,142.682,8.074,0.888,1,0.8,16,5,5,300
84.816,5570,538,145,163,345,66,12.2,5340,0.683,40.74,148.78,7.852,0.939,0,0.1,18,27,51,3000
84.816,2000,545,134,160,345,66,11.9,5480,0.693,40.74,145.121,7.942,0.935,0,0.2,17,11,18,1082
84.816,2000,540,144,162,346,66,12.2,5360,0.685,40.74,148.78,7.882,0.937,0,0.1,19,11,18,1080
84.816,2000,539,151,164,342,65,12.3,5210,0.678,40.123,150,7.661,0.938,1,0,18,9,18,1079
84.816,3000,541,136,161,345,66,12,5460,0.689,40.74,146.341,7.913,0.936,0,0.2,17,17,28,1622
84.816,3000,539,149,164,343,65,12.3,5240,0.677,40.123,150,7.594,0.937,0,0,18,13,28,1619
84.816,6610,539,144,162,344,65,12.1,5320,0.687,40.123,147.56,7.823,0.094,0,0.1,18,34,61,3559
86.91,1000,520,126,159,339,67,11.6,5620,0.725,40.361,141.463,7.805,0.949,1,0.1,25,6,10,520
92.67,1000,496,137,164,333,68,11.7,5600,0.737,38.418,142.682,7.567,0.934,0,0,24,4,12,496
103.664,1000,432,151,171,304,69,11.7,5500,0.812,34.848,142.682,6.79,0.958,0,-0.2,23,5,15,432
110.471,50,378,156,175,287,71,12.1,5650,0.902,33.649,147.56,6.726,1.022,0,-0.3,21,0,1,19
87.958,1540,519,129,160,339,67,11.7,5610,0.724,39.88,142.682,7.901,0.943,1,0,25,8,16,797
101.57,1520,441,148,170,311,69,11.6,5530,0.8,35.567,141.463,6.912,0.958,0,0,23,7,22,670
87.958,1500,519,129,160,339,67,11.7,5620,0.723,39.88,142.682,7.805,0.942,1,0,25,11,15,777
101.047,1500,446,147,169,312,69,11.6,5530,0.794,35.751,141.463,7,0.951,1,-0.1,23,7,21,670
94.24,3050,481,137,164,326,68,11.7,5580,0.76,37.777,142.682,7.342,0.947,0,0,24,15,37,1467
91.623,940,509,143,163,338,67,11.7,5520,0.723,38.285,142.682,7.666,0.921,2,-0.1,21,6,11,478
91.099,640,508,145,161,341,67,11.6,5630,0.733,38.505,141.463,7.712,0.928,1,0.2,23,4,7,325
90.575,1000,517,129,158,339,67,11.4,5600,0.734,38.728,139.024,7.887,0.916,2,0.4,20,7,12,517
92.146,630,505,149,163,335,67,11.7,5500,0.729,38.068,142.682,7.534,0.923,1,-0.5,22,3,7,318
91.099,930,501,153,164,335,67,11.7,5400,0.727,38.505,142.682,7.5,0.936,0,0.2,21,6,10,468
90.575,1120,506,156,164,336,67,11.7,5420,0.723,38.728,142.682,7.633,0.937,1,0,22,5,12,566
96.335,620,488,159,166,329,67,11.5,5430,0.739,36.413,140.243,7.337,0.911,1,0.1,23,4,8,303
90.052,1000,517,138,162,341,67,11.7,5580,0.716,38.953,142.682,7.859,0.922,1,0,21,5,11,517
92.146,1000,508,144,163,338,67,11.7,5530,0.724,38.068,142.682,7.68,0.917,2,0.1,22,6,12,508
91.623,1000,508,149,163,338,67,11.7,5520,0.724,38.285,142.682,7.561,0.922,1,0,22,7,11,508
91.099,1000,503,154,164,335,67,11.7,5410,0.727,38.505,142.682,7.513,0.936,0,0.3,22,7,11,503
90.575,1000,503,156,165,336,67,11.7,5420,0.722,38.728,142.682,7.527,0.942,1,-0.2,21,3,11,503
96.335,640,491,159,166,330,67,11.5,5430,0.734,36.413,140.243,7.337,0.905,1,0.2,23,5,9,315
90.575,650,515,126,158,336,66,11.3,5520,0.732,38.15,137.804,7.774,0.914,2,0.6,20,5,8,337
91.099,1110,519,137,161,342,67,11.8,5610,0.718,38.505,143.902,7.901,0.908,2,0.4,21,7,13,576
90.575,2000,517,134,160,340,67,11.6,5590,0.724,38.728,141.463,7.763,0.915,2,0.2,21,13,23,1035
92.146,2000,507,146,163,338,67,11.7,5530,0.725,38.068,142.682,7.575,0.918,2,0,22,14,23,1015
91.099,2000,503,155,164,335,67,11.7,5410,0.728,38.505,142.682,7.41,0.938,1,0.1,22,10,22,1004
91.099,3000,514,137,161,339,67,11.6,5570,0.724,38.505,141.463,7.63,0.916,2,0.2,21,19,34,1543
91.099,3000,505,153,164,336,67,11.7,5450,0.724,38.505,142.682,7.465,0.933,1,0,22,17,33,1514
91.623,6640,508,146,163,337,67,11.6,5500,0.725,38.285,141.463,7.638,0.922,1,0.1,22,41,77,3371
87.434,930,516,143,165,335,66,12.2,5290,0.704,39.52,148.78,7.557,0.951,0,0,26,5,9,480
103.664,640,433,155,167,314,70,11.4,5780,0.83,35.353,139.024,7.048,0.956,0,0.1,27,3,10,277
85.863,1000,520,131,160,341,66,11.7,5430,0.721,40.243,142.682,7.647,0.961,0,0.1,25,5,9,520
85.34,750,544,150,160,346,67,12.1,5620,0.689,41.104,147.56,8.028,0.924,1,0,27,3,7,408
82.722,810,561,148,160,349,66,12.3,5520,0.667,41.772,150,8.238,0.923,1,-0.1,26,3,7,455
110.471,1120,414,163,169,301,71,11.2,5840,0.858,33.649,136.585,6.952,0.094,1,0,26,4,20,463
86.387,640,519,154,162,341,66,12,5460,0.711,40,146.341,7.69,0.955,1,-0.3,26,3,6,333
87.434,1000,517,140,165,335,66,12.3,5300,0.703,39.52,150,7.571,0.949,1,0.1,25,4,10,517
91.099,1000,497,146,165,332,67,11.9,5390,0.731,38.505,145.121,7.486,0.948,0,0.1,26,5,11,497
92.146,1000,498,153,163,334,68,11.9,5690,0.739,38.636,145.121,7.689,0.935,1,0.1,27,5,12,498
83.769,1000,554,149,160,348,67,12.3,5550,0.676,41.875,150,8.283,0.925,1,0.1,26,5,9,554
111.518,1000,410,164,170,298,71,11.2,5860,0.86,33.333,136.585,6.894,0.938,1,-0.2,26,3,18,410
87.434,670,515,155,163,339,67,12,5470,0.714,40.119,146.341,7.597,0.953,1,-0.3,26,3,7,345
86.387,650,514,129,159,342,65,11.4,5390,0.736,39.393,139.024,7.383,0.097,0,0.4,25,4,6,333
87.434,1140,520,138,164,338,66,12.2,5370,0.704,39.52,148.78,7.671,0.945,1,0.1,25,4,11,592
86.91,2000,518,135,163,338,66,12,5370,0.711,39.759,146.341,7.563,0.955,0,0.1,25,9,19,1034
91.623,2000,498,149,164,333,67,11.9,5540,0.736,38.285,145.121,7.589,0.942,2,0.1,26,9,23,994
95.811,2000,482,155,164,327,69,11.8,5680,0.759,37.704,143.902,7.473,0.093,1,0,26,8,28,963
87.958,3000,511,139,163,336,66,12,5370,0.72,39.285,146.341,7.458,0.955,0,0.1,25,13,30,1532
94.24,3000,487,154,164,329,68,11.8,5680,0.75,37.777,143.902,7.573,0.934,1,0,26,13,40,1463
90.575,6670,501,147,164,334,67,11.9,5520,0.73,38.728,145.121,7.561,0.946,1,0,26,29,77,3341
86.91,1120,547,131,160,349,67,12,5580,0.684,40.361,146.341,8.086,0.901,2,0,5,6,13,614
85.34,930,543,136,162,345,66,12.3,5420,0.679,40.49,150,7.97,0.922,2,-0.2,4,6,10,507
86.387,1000,537,125,158,344,66,11.7,5560,0.707,40,142.682,7.942,0.925,2,0.1,6,6,11,537
84.816,630,547,139,161,348,66,12.2,5480,0.678,40.74,148.78,8.058,0.921,2,0,5,4,6,346
87.434,690,553,141,161,343,67,12.4,5670,0.676,40.119,151.219,8.338,0.891,3,-0.4,5,5,8,380
83.769,680,563,143,160,351,67,12.3,5600,0.66,41.875,150,8.484,0.902,0,0.6,5,8,7,386
116.753,2040,392,166,173,289,72,11.4,5790,0.884,32.286,139.024,6.579,0.937,1,0,3,10,46,800
84.816,640,551,154,159,336,66,11.6,5480,0.682,40.74,141.463,7.942,0.915,1,0,1,3,7,354
91.099,630,501,154,164,335,67,11.8,5540,0.727,38.505,143.902,7.694,0.936,1,0,4,4,8,317
86.387,1000,545,132,160,348,66,12,5540,0.688,40,146.341,8.147,0.911,1,-0.1,4,5,11,545
85.34,1000,547,138,162,345,66,12.3,5440,0.677,40.49,150,8,0.919,2,0.1,4,7,11,547
86.91,1000,553,141,161,345,67,12.3,5610,0.673,40.361,150,8.25,0.893,3,-0.2,5,8,12,553
89.528,1000,520,145,162,339,67,12.2,5600,0.712,39.181,148.78,8,0.922,0,0.4,5,10,12,520
117.277,1000,392,166,174,287,71,11.5,5740,0.879,31.696,140.243,6.522,0.933,1,-0.3,3,5,23,392
107.329,1000,430,167,167,301,70,11,5670,0.835,34.146,134.146,6.831,0.093,1,0,3,4,21,430
74.311,800,537,124,158,343,66,11.6,5530,0.711,40.74,141.463,7.788,0.948,1,0,6,5,8,427
77.064,800,545,131,159,349,67,11.9,5630,0.689,39.88,145.121,8.53,0.891,2,0.2,4,4,9,438
75.229,800,544,135,162,344,66,12.3,5410,0.678,40.243,150,7.955,0.915,2,-0.1,4,5,8,437
75.229,800,552,139,161,348,66,12.2,5470,0.677,40.243,148.78,8.044,0.909,2,0.2,5,7,9,440
76.146,800,549,141,161,344,67,12.3,5640,0.677,40.361,150,8.294,0.898,3,-0.5,5,5,9,440
75.229,800,549,143,161,347,67,12.2,5580,0.677,40.853,148.78,8.205,0.909,0,0.5,5,9,9,440
100,800,403,162,173,292,71,11.7,5650,0.864,32.568,142.682,6.569,0.937,2,0,4,5,17,321
105.045,800,384,170,174,285,72,11.2,5810,0.898,31.441,136.585,6.455,0.933,1,0.1,3,4,19,307
89.528,1000,517,153,162,338,68,11.9,5620,0.716,39.766,145.121,7.915,0.927,1,0.1,3,6,12,517
84.403,800,476,161,162,317,68,11.2,5650,0.777,36.956,136.585,7.243,0.935,1,-0.4,2,2,13,381
78.899,800,511,153,163,337,67,11.9,5590,0.718,38.953,145.121,7.763,0.093,1,0.1,3,5,9,410
75.688,2000,541,129,159,346,66,11.8,5550,0.696,40,143.902,7.928,0.917,2,0,5,11,22,1083
86.91,630,533,123,157,341,66,11.5,5530,0.714,39.759,140.243,7.9,0.923,2,0.4,6,4,7,337
75.688,2000,550,139,161,345,67,12.3,5520,0.676,40.606,150,8.117,0.901,2,-0.1,5,15,22,1102
88.99,2000,456,154,167,316,69,11.9,5660,0.786,35.567,145.121,7.164,0.924,1,0.1,4,15,35,914
85.321,2000,474,159,164,321,69,11.5,5640,0.771,37.096,140.243,7.324,0.093,1,0,3,11,32,948
75.229,3000,543,132,160,346,66,12,5510,0.691,40.243,146.341,7.985,0.921,2,0,5,18,32,1627
83.944,3000,488,149,165,327,68,12.1,5640,0.744,37.158,147.56,7.621,0.917,2,0,5,22,57,1465
75.688,4000,545,134,160,346,66,12.1,5530,0.687,40,147.56,8.132,0.911,2,0,5,26,44,2181
87.155,4000,465,157,166,319,69,11.7,5650,0.777,36.315,142.682,7.243,0.928,1,0.1,3,25,67,1860
102.752,2000,391,166,173,288,72,11.4,5800,0.887,32.142,139.024,6.516,0.936,1,-0.1,3,10,46,782
81.651,7170,501,147,163,332,68,11.9,5590,0.733,38.202,145.121,7.657,0.918,2,0,4,46,103,3597
80.275,760,512,138,161,343,67,11.7,5540,0.731,38.285,142.682,7.589,0.092,2,0.4,17,6,5,387
79.816,930,508,141,162,343,67,11.5,5510,0.728,38.505,140.243,7.652,0.926,2,0,17,5,7,473
74.77,1000,552,128,158,347,66,11.7,5610,0.687,40.49,142.682,8.25,0.911,1,0.3,16,6,6,552
80.275,630,512,142,161,346,67,11.4,5580,0.726,38.285,139.024,7.75,0.913,2,0.2,19,4,5,323
80.275,630,506,144,163,339,67,11.6,5500,0.729,38.285,141.463,7.534,0.928,2,-0.4,18,2,4,318
80.275,930,500,147,164,337,66,11.6,5380,0.728,37.714,141.463,7.369,0.933,1,0.1,17,5,7,467
80.275,1120,497,151,165,335,66,11.6,5340,0.731,37.714,141.463,7.315,0.942,1,0.1,17,5,8,557
76.146,620,556,149,160,351,66,11.9,5510,0.673,39.759,145.121,8.102,0.887,2,0,18,4,4,345
79.816,1000,506,138,162,342,67,11.6,5560,0.731,38.505,141.463,7.616,0.931,2,0,17,6,7,506
80.275,1000,512,142,161,345,67,11.5,5510,0.727,38.285,140.243,7.652,0.915,2,0.2,17,6,7,512
79.816,1000,512,144,162,342,67,11.6,5510,0.723,38.505,141.463,7.652,0.092,2,0,18,5,7,512
80.275,1000,502,148,164,337,66,11.7,5380,0.728,37.714,142.682,7.369,0.933,1,0.3,17,7,7,502
80.275,1000,496,151,165,334,66,11.6,5350,0.733,37.714,141.463,7.229,0.944,1,-0.2,17,3,7,496
76.146,610,555,149,160,351,66,11.9,5510,0.67,39.759,145.121,8.102,0.883,2,0,18,4,4,341
